代碼,名稱,產業,市場,題材(L2),tech,supply
2059,川湖,電子零組件業,TWSE,"其他電子零件, 電子零件元件","AI伺服器, 伺服器",
2061,風青,電器電纜,TPEX,"漆包線, 電線電纜",電線電纜,
2062,橋椿,居家生活,TWSE,"家居用品, 水龍頭",,
2063,世鎧,鋼鐵工業,TPEX,"不鏽鋼, 不鏽鋼緊固件, 不鏽鋼線材, 線材盤元, 螺絲螺帽","不鏽鋼, 螺絲螺帽",
2064,晉椿,鋼鐵工業,TPEX,"條鋼, 棒鋼, 線材盤元",EV,
2065,世豐,鋼鐵工業,TPEX,"線材盤元, 螺絲螺帽",車用電子,
2066,世德,電機機械,TPEX,"線材盤元, 螺絲螺帽","EV, 車用電子",Tesla供應鏈
2067,嘉鋼,電機機械,TPEX,機械零組件,,
2069,運錩,鋼鐵工業,TWSE,"不鏽鋼, 不鏽鋼剪裁加工",不鏽鋼,
2070,精湛,電機機械,TPEX,設備儀器商,矽光子,
2071,震南鐵,鋼鐵工業,ESB,鋼鐵工業,,
2072,世紀風電,綠能環保,TWSE,"條鋼, 鋼構",風電,
2073,雄順,鋼鐵工業,TPEX,線材盤元,線材,
2101,南港,橡膠工業,TWSE,"地產, 橡膠工業, 營建, 資產股, 輪胎","橡膠, 營建, 輪胎",
2102,泰豐,橡膠工業,TWSE,"橡膠工業, 資產股, 輪胎","橡膠, 輪胎",
2103,台橡,橡膠工業,TWSE,"合成橡膠, 橡膠工業, 熱可塑橡膠",EV,
2104,國際中橡,橡膠工業,TWSE,"橡膠工業, 碳煙","新藥研發, EV",
2105,正新,橡膠工業,TWSE,"橡膠工業, 橡膠製品, 輪胎","橡膠, 輪胎",
2106,建大,橡膠工業,TWSE,"橡膠工業, 橡膠製品, 輪胎",EV,
2107,厚生,橡膠工業,TWSE,"倉儲服務, 地產, 塑化製品, 塑膠皮布, 橡膠工業, 橡膠製品, 營建, 資產股, 運輸事業","倉儲, 塑膠, 橡膠, 營建",
2108,南帝,橡膠工業,TWSE,"乳膠相關, 橡膠工業",橡膠,
2109,華豐,橡膠工業,TWSE,"橡膠工業, 橡膠製品, 輪胎","橡膠, 輪胎",
2114,鑫永銓,橡膠工業,TWSE,"橡膠工業, 橡膠製品",橡膠,
2115,六暉-KY,汽車工業,TWSE,"汽機車零組件, 輪圈",輪圈,
2201,裕隆,汽車工業,TWSE,"汽機車零組件, 汽車服務相關, 汽車製造, 汽車銷售, 資產股, 車輛整車","EV, 車用電子",Tesla供應鏈
2204,中華,汽車工業,TWSE,"客貨車輛相關, 機車零組件, 汽機車零組件, 汽車服務相關, 汽車製造, 汽車銷售, 車輛整車, 電動機車",EV,
2206,三陽工業,汽車工業,TWSE,"機車, 汽車服務相關, 汽車製造, 汽車銷售, 資產股, 車輛整車, 電動機車",EV,
2207,和泰車,汽車工業,TWSE,"汽車服務相關, 汽車銷售",EV,
2208,台船,航運業,TWSE,造船業,,
2211,長榮鋼,鋼鐵工業,TWSE,"傳產其他, 回收焚化／掩埋清運, 條鋼, 鋼構",儲能,
2221,大甲,其他業,TPEX,"不鏽鋼, 不鏽鋼品",不鏽鋼,
2227,裕日車,汽車工業,TWSE,"汽機車零組件, 汽車服務相關, 汽車銷售",EV,
2228,劍麟,汽車工業,TWSE,"傳產其他, 安全氣囊, 汽機車零組件, 汽車內裝","ADAS, 車用電子, 封測, 記憶體, AI伺服器, 伺服器, 散熱",
2230,泰茂,電機機械,TPEX,"汽機車零組件, 活塞, 流通業, 食品飲料相關通路","EV, 儲能","Apple供應鏈, Meta供應鏈"
2231,為升,汽車工業,TWSE,"倒車雷達, 胎壓監測系統, 車用電子","EV, 車用電子",
